has_title,has_input,has_button,has_image,has_submit,has_link,has_password,has_email_input,has_hidden_element,has_audio,has_video,number_of_inputs,number_of_buttons,number_of_images,number_of_option,number_of_list,number_of_th,number_of_tr,number_of_href,number_of_paragraph,number_of_script,length_of_title,URL,label
1,1,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,1,0,1,6,6,http://google.com,0
1,1,1,0,0,1,0,0,0,0,0,1,15,0,0,118,0,0,4,5,6,93,http://microsoft.com,0
1,1,1,0,0,1,1,0,1,0,0,7,1,0,0,40,0,0,56,0,18,31,http://facebook.com,0
1,1,1,0,0,1,0,1,1,0,0,33,22,1,264,214,0,0,28,140,37,51,http://cloudflare.com,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,http://mail.ru,0
1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,17,0,43,7,http://youtube.com,0
1,1,1,0,0,1,0,0,1,0,1,5,17,0,0,132,0,0,144,38,15,5,http://apple.com,0
1,1,1,0,0,1,0,0,0,0,1,2,17,0,0,53,0,0,39,5,22,52,http://amazonaws.com,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,96,0,89,9,http://instagram.com,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,http://dzen.ru,0
1,0,1,0,0,1,0,0,0,0,0,0,32,0,0,188,0,0,19,20,20,29,http://office.com,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,4,7,http://live.com,0
1,1,1,0,0,1,0,0,1,0,0,4,44,0,0,183,0,0,80,13,6,27,http://linkedin.com,0
1,1,0,1,1,0,0,0,1,0,0,11,0,1,0,0,0,1,0,1,9,13,http://googlevideo.com,0
1,1,1,0,0,1,1,0,1,0,0,7,1,0,0,40,0,0,56,0,18,31,http://fbcdn.net,0
1,0,1,0,0,1,0,0,0,0,0,0,36,0,0,0,0,0,9,31,10,18,http://workers.dev,0
1,1,1,0,0,1,0,0,0,0,0,2,95,0,0,308,0,0,29,1,76,42,http://azure.com,0
1,0,1,0,0,1,0,0,0,0,0,0,16,0,11,100,0,0,8,38,10,72,http://doubleclick.net,0
1,1,1,0,0,1,0,1,1,0,1,13,46,0,0,137,0,0,39,27,65,61,http://github.com,0
1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,16,0,48,24,http://bing.com,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,http://digicert.com,0
1,0,1,0,0,1,0,0,0,0,0,0,29,1,0,85,0,0,31,22,16,42,http://fastly.net,0
1,0,1,0,0,1,0,0,0,0,0,0,4,0,240,21,0,0,75,15,18,65,http://whatsapp.net,0
1,1,1,0,0,1,0,0,0,0,0,1,9,0,0,61,0,0,181,19,16,55,http://wordpress.org,0
1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,17,0,42,7,http://youtu.be,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,52,0,80,9,http://pinterest.com,0
1,1,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,1,0,1,6,6,http://googlesyndication.com,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,6,http://icloud.com,0
1,1,1,0,0,1,0,0,0,0,0,1,15,0,0,118,0,0,4,5,6,93,http://sharepoint.com,0
1,0,1,0,0,1,0,0,0,0,0,0,4,0,240,21,0,0,75,15,18,65,http://whatsapp.com,0
1,1,1,0,0,1,0,0,0,0,0,1,15,0,0,118,0,0,4,5,6,93,http://windows.net,0
0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,23,3,10,0,http://x.com,0
1,1,1,0,0,1,0,0,0,0,1,2,12,0,0,0,0,0,4,21,6,52,http://skype.com,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,11,3,http://msn.com,0
1,0,1,0,0,1,0,0,0,0,0,0,7,0,0,2,0,0,11,9,5,63,http://ntp.org,0
1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,41,0,9,40,http://spotify.com,0
1,1,1,0,0,1,0,1,0,0,0,2,10,0,0,102,0,0,32,70,7,77,http://gandi.net,0
1,0,1,0,0,1,0,0,0,0,1,0,93,0,0,208,0,0,31,43,99,31,http://vimeo.com,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://adobe.com,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43,0,121,6,http://roblox.com,0
1,1,1,0,0,1,0,0,1,0,1,9,45,0,0,359,0,0,25,51,17,30,http://zoom.us,0
1,0,1,0,0,1,0,0,0,0,0,0,4,0,240,21,0,0,10,8,18,13,http://wa.me,0
1,1,1,0,0,1,0,0,1,0,0,5,6,0,0,0,0,0,22,0,55,34,http://yandex.net,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,15,1,0,14,http://googledomains.com,0
1,0,1,0,0,1,0,0,0,0,0,0,13,0,11,87,0,0,8,24,10,64,http://google-analytics.com,0
1,1,1,0,0,1,0,0,0,0,0,1,15,0,0,118,0,0,4,5,6,93,http://office365.com,0
1,1,1,0,0,1,0,0,1,0,0,19,5,0,0,88,0,0,10,58,23,59,http://bit.ly,0
1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,20,0,10,1,7,0,5,http://nginx.org,0
1,1,1,0,0,1,0,0,1,0,0,107,62,0,3,81,0,0,20,63,26,58,http://samsung.com,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,http://nic.ru,0
1,1,0,0,1,1,0,0,1,0,0,8,0,0,0,0,0,0,1,2,1,9,http://baidu.com,0
1,1,0,0,0,1,0,0,1,0,0,7,0,0,18,47,0,0,79,14,10,50,http://opera.com,0
1,0,1,0,0,1,0,0,0,0,0,0,6,0,0,41,0,0,4,18,2,67,http://cloudflare-dns.com,0
1,1,1,0,0,1,0,0,1,0,0,2,8,0,23,110,0,0,42,42,23,56,http://wordpress.com,0
1,1,1,0,0,1,0,0,0,0,0,1,15,0,0,118,0,0,4,5,6,93,http://windows.com,0
1,0,1,0,0,1,0,0,0,0,0,0,5,0,0,122,0,0,85,7,10,48,http://mozilla.org,0
1,1,1,0,0,1,0,0,0,0,0,2,28,0,0,187,0,0,10,21,56,10,http://nginx.com,0
