has_title,has_input,has_button,has_image,has_submit,has_link,has_password,has_email_input,has_hidden_element,has_audio,has_video,number_of_inputs,number_of_buttons,number_of_images,number_of_option,number_of_list,number_of_th,number_of_tr,number_of_href,number_of_paragraph,number_of_script,length_of_title,URL,label
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,17,https://portal-atualizado.vercel.app/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://allegrolokalnie.plsd9klfuthjlxdaw01xk.icu,1
1,1,1,0,0,1,0,1,0,0,0,13,1,0,0,0,0,0,10,2,8,35,https://spicy-convention-943346.framer.app/,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,"https://framer.com/edit?framerSiteId=dc07a4cc5ca73ce53529e9d8005723618e50ad58377212ba44634d0b9c66ed7b&source=spicy-convention-943346.framer.app&features=%7B%22editorBarDisableFrameAncestorsSecurity%22:false,%22onPageLocalizationSupport%22:false,%22onPageMoveTool%22:false%7D&loadStart=1766155118613",1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,https://j3fyhnbe6qsf87.s3.ap-southeast-2.amazonaws.com/fbtdu6,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://jhcsl.com/Pc943I,1
1,1,1,0,0,1,0,0,1,0,0,5,2,0,0,85,0,0,11,49,20,17,https://lookmariage.com/FFsV6XVCKm,1
1,1,1,0,0,1,0,0,0,0,0,1,4,0,0,132,0,0,11,38,24,57,https://ln.run/lwBD7,1
1,1,1,0,0,1,0,1,0,0,0,13,1,0,0,0,0,0,11,5,8,14,https://ambitious-watching-754171.framer.app/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4,5,http://paxosii.cyou,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4,5,https://paxosii.cyou/,1
1,1,1,0,0,1,0,0,0,0,0,2,5,0,0,1,0,0,23,2,52,71,https://exodeuwebwat.gitbook.io/us/,1
1,1,1,0,0,1,0,0,0,0,0,2,5,0,0,1,0,0,23,2,52,71,https://exodeuwebwat.gitbook.io,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4,5,https://paxosii.shop/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4,5,http://paxosii.shop,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://allegro.pl-oferta11304128.cfd,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://allegro.16235.click,1
1,1,1,0,0,1,1,1,1,0,0,91,22,0,0,15,0,0,6,0,12,14,https://gfiuwd2g.web.app/host:-webmail.cmac-arequipa.com.pe:2716,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,20,0,https://apis.google.com/additnow/l?applicationid=260457348581&__ls=ogb&__lu=https://login.ilonos.app/hexpMZAr,1
1,1,1,0,0,1,1,1,0,0,0,3,1,0,0,0,0,0,3,2,4,8,https://ipfs.io/ipfs/bafkreidc7ahz6c5bcke2oeobsoz7phojdwvfrkyvu347psfs5ubk7pckvq?eta=media@ovhcloud.com,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://gentong999.com/wp-content/uploads/,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,9,"https://technologies-intelligence-gen3.s3.us-west-1.amazonaws.com/hmRIDgD9v?em=redacted@abuse.ionos.com&?ts=08:00:50,%2019.12.2025",1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,13,https://mondial-relay-horaires.com/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,13,https://mondial-relay-horaires.com/captcha,1
